resource_id,title,type,career,skill,difficulty,duration_hours,description,provider,url,project_type,assessment_type
101,Python for Everybody,Course,Machine Learning Engineer,Python,Beginner,40,Learn to program in Python.,Coursera,https://www.coursera.org/specializations/python,,Quiz
102,Statistics and Probability,Course,Machine Learning Engineer,Statistics,Beginner,15,Basic probability and statistics.,Khan Academy,https://www.khanacademy.org/math/statistics-probability,,Quiz
103,Machine Learning Specialization,Course,Machine Learning Engineer,Machine Learning,Intermediate,80,Foundational machine learning concepts.,Coursera,https://www.coursera.org/specializations/machine-learning-introduction,,Exam
104,Deep Learning Specialization,Course,Machine Learning Engineer,Deep Learning,Advanced,120,Neural networks and deep learning concepts.,Coursera,https://www.coursera.org/specializations/deep-learning,,Exam
105,PyTorch Tutorials,Course,Machine Learning Engineer,PyTorch,Advanced,25,Learn PyTorch through official tutorials for building and training deep learning models.,PyTorch,https://docs.pytorch.org/tutorials/,Deep Learning,Code Practice
106,Docker for the Absolute Beginner,Course,Machine Learning Engineer,Docker,Intermediate,5,Learn Docker fundamentals with hands-on exercises.,Udemy,https://www.udemy.com/course/learn-docker/,,Quiz
107,MLOps Fundamentals,Course,Machine Learning Engineer,MLOps,Advanced,25,Learn the foundations of deploying and operating machine learning systems.,Coursera,https://www.coursera.org/learn/mlops-fundamentals,,Project
108,Training an Image Classifier with PyTorch,Project,Machine Learning Engineer,PyTorch,Advanced,10,Build and train an image classifier using PyTorch and CIFAR10.,PyTorch,https://docs.pytorch.org/tutorials/beginner/blitz/cifar10_tutorial.html,Computer Vision,Code Review
109,Docker for Data Science,Project,Machine Learning Engineer,Docker,Advanced,8,Practice containerizing applications with Docker.,Docker,https://docs.docker.com/get-started/,Deployment,Hands-on Exercise
201,Excel Skills for Business,Course,Data Analyst,Excel,Beginner,30,Master Excel for business and data analysis.,Coursera,https://www.coursera.org/specializations/excel,,Quiz
202,SQL for Data Science,Course,Data Analyst,SQL,Beginner,20,Learn SQL for querying and analyzing data.,Coursera,https://www.coursera.org/learn/sql-for-data-science,,Quiz
203,Data Visualization with Python,Course,Data Analyst,Data Visualization,Intermediate,15,Learn to create effective data visualizations with Python.,Coursera,https://www.coursera.org/learn/python-for-data-visualization,,Quiz
204,Data Visualization and Communication with Tableau,Course,Data Analyst,Tableau,Intermediate,20,Build dashboards and communicate insights using Tableau.,Coursera,https://www.coursera.org/learn/analytics-tableau,Dashboard,Quiz
205,SQL for Data Science Capstone Project,Project,Data Analyst,SQL,Intermediate,35,Apply SQL skills to a complete data analysis project.,Coursera,https://www.coursera.org/learn/sql-data-science-capstone,Data Analysis,Peer Review
301,Responsive Web Design,Course,Frontend Developer,HTML/CSS,Beginner,300,Build responsive websites using HTML and CSS.,freeCodeCamp,https://www.freecodecamp.org/learn/2022/responsive-web-design/,Web Development,Project
302,JavaScript Algorithms and Data Structures,Course,Frontend Developer,JavaScript,Intermediate,Learn JavaScript fundamentals algorithms and programming concepts.,freeCodeCamp,https://www.freecodecamp.org/learn/javascript-algorithms-and-data-structures/,Web Development,Exam
303,React - The Complete Guide,Course,Frontend Developer,React,Intermediate,50,Learn component-based UI development with React.,Udemy,https://www.udemy.com/course/react-the-complete-guide-incl-redux/,Web Development,Project
304,Understanding TypeScript,Course,Frontend Developer,TypeScript,Advanced,20,Learn TypeScript and add static typing to JavaScript applications.,Udemy,https://www.udemy.com/course/understanding-typescript/,Web Development,Quiz
305,Learn Performance,Course,Frontend Developer,Web Performance,Advanced,10,Learn how to analyze and improve web performance and Core Web Vitals.,web.dev,https://web.dev/learn/performance/,Optimization,Automated Score
401,Critical Thinking,Course,General,Critical Thinking,Beginner,5,Improve logical reasoning and analytical thinking.,LinkedIn Learning,https://www.linkedin.com/learning/critical-thinking,,Quiz
